0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
1.756383333,1.247183333,1.5089,1.07545,1.118433333,1.05055,1.0793,1.033533333,1.079966667,1.1335,1.235716667,1.34475,1.963116667,2.045416667,2.292966667,2.47135,2.815333333,2.642766667,2.663683333,2.831366667,2.102216667,1.961216667,1.885233333,1.904766667,
1.402966667,1.613083333,1.451916667,1.1139,1.216416667,1.033116667,0.94195,1.01905,0.733966667,1.071983333,1.22685,1.32925,1.839716667,2.057683333,2.449933333,2.544066667,2.600683333,2.533066667,2.79975,2.300733333,2.142016667,1.925333333,1.6567,1.772183333,
1.36085,1.359433333,1.220416667,1.059233333,1.06505,0.869816667,0.879533333,0.978083333,0.75905,1.035833333,1.23,1.308933333,1.848083333,1.944733333,2.203466667,2.361783333,2.3734,2.620916667,2.681516667,2.51475,2.04885,2.015116667,1.62195,1.645966667,
1.313316667,1.444766667,1.115416667,1.02895,1.067166667,1.0483,1.020633333,0.756133333,0.97715,1.10065,1.145133333,1.419883333,1.760883333,1.970966667,2.265483333,2.41935,2.216683333,2.549733333,2.373166667,2.232233333,2.2821,1.607833333,2.2506,1.546983333,
1.4087,1.463083333,1.163816667,1.108766667,1.06085,1.05025,1.0426,0.8057,0.936616667,1.054466667,1.2122,1.23695,1.892816667,1.801366667,2.1326,2.191183333,2.601966667,2.207966667,2.592033333,2.427966667,1.7875,2.1371,1.480066667,1.766833333,
1.254383333,1.43055,1.1267,1.047816667,1.087366667,1.019683333,1.056216667,1.019166667,0.722666667,1.0932,1.146033333,1.731333333,1.442433333,1.967466667,2.135816667,2.473366667,2.415266667,2.620183333,2.324883333,2.397033333,2.293166667,1.677716667,2.023466667,1.375983333,
1.661233333,1.1384,1.240033333,1.278033333,1.05765,1.082366667,1.021233333,0.8395,0.947283333,1.09325,1.252016667,1.672666667,1.509283333,1.988016667,2.172233333,2.48365,2.432083333,2.67715,2.316183333,2.550283333,2.063516667,1.727683333,1.6375,1.953116667,
1.377133333,1.13385,1.265283333,1.2229,1.0866,0.969766667,0.81355,1.0207,0.763533333,1.055666667,1.369183333,1.6602,1.638466667,2.0062,2.284266667,2.332483333,2.71115,2.186566667,2.516,2.139833333,1.615533333,1.707433333,1.292383333,1.448566667,
1.1828,0.9933,0.776116667,1.04375,0.964033333,0.76005,0.952233333,0.76895,0.71765,1.0583,1.135916667,1.270083333,1.816316667,1.64655,2.059933333,2.237166667,2.3895,2.4377,2.319266667,2.304116667,2.077666667,1.568666667,1.7854,1.324083333,
1.117333333,1.256983333,1.121683333,0.926583333,0.940233333,0.908733333,0.832183333,0.679366667,0.75,1.014333333,1.180966667,1.238916667,1.23545,0,0,0,1.9299,2.006083333,2.422766667,2.23875,2.209783333,1.673866667,1.707866667,1.478116667,
1.396383333,1.0833,1.17045,1.249316667,1.08115,1.052483333,0.69735,0.9254,0.815816667,0.84235,1.162383333,1.5234,1.267183333,1.852383333,2.223866667,2.472166667,2.3966,2.589866667,2.38825,2.338433333,4.168516667,3.494633333,3.00845,2.551683333,
2.1293,2.02245,1.685883333,1.582966667,1.711766667,1.245116667,1.45975,1.911516667,3.319383333,3.420716667,2.087833333,3.589033333,5.87445,3.92035,2.934766667,3.14635,2.42795,2.5873,2.465566667,3.500116667,3.336133333,3.319,2.0119,1.57905,
1.3086,1.453266667,1.12695,1.181083333,1.111266667,1.164233333,1.098666667,1.258033333,3.7773,3.8794,2.58945,2.132766667,2.1333,2.662583333,3.583716667,3.2426,3.310383333,2.054233333,1.667916667,1.8262,2.3091,2.4854,1.495616667,1.069133333,
0.854566667,1.0912,0.8079,1.048566667,0.846433333,0.82355,1.100783333,0.9495,2.14615,2.280833333,2.47735,3.44515625,5.12842,6.863255319,4.443183333,3.1906,2.793616667,2.668516667,2.4236,2.285583333,1.447966667,1.776983333,2.147166667,2.125366667,
2.168983333,1.194866667,0.885133333,1.13365,0.785783333,0.83435,0.7741,1.83925,0.964533333,1.40225,2.5856,2.976083333,5.060033333,7.036,5.519266667,5.314666667,5.006766667,3.819916667,2.96425,1.89465,2.239666667,2.830466667,2.660883333,2.660216667,
